25847: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=1.188, wz=-9.807, w1=0.639, h0=6.890, h1=6.956, ei=-45.322, correction=-2
25950: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=0.639, wz=-4.433, w1=0.385, h0=6.956, h1=6.995, ei=-52.318, correction=-2
26055: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=0.385, wz=-5.870, w1=0.072, h0=6.995, h1=7.003, ei=-59.320, correction=-2
26157: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=0.072, wz=-7.058, w1=-0.284, h0=7.003, h1=6.974, ei=-66.295, correction=-3
26260: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=-0.284, wz=-5.433, w1=-0.542, h0=6.974, h1=6.917, ei=-73.212, correction=-3
26366: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=-0.542, wz=-5.120, w1=-0.771, h0=6.917, h1=6.837, ei=-80.049, correction=-4
26468: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-0.771, wz=-3.620, w1=-0.913, h0=6.837, h1=6.744, ei=-86.792, correction=-4
26579: TaskCorrectCourse::CorrectCourse: dt=0.112, w0=-0.913, wz=-3.182, w1=-1.027, h0=6.744, h1=6.629, ei=-93.421, correction=-4
26690: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-1.027, wz=-3.745, w1=-1.162, h0=6.629, h1=6.500, ei=-99.921, correction=-4
26791: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-1.162, wz=-3.932, w1=-1.301, h0=6.500, h1=6.367, ei=-106.288, correction=-5
26891: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-1.301, wz=-3.682, w1=-1.420, h0=6.367, h1=6.225, ei=-112.513, correction=-5
26998: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=-1.420, wz=-3.120, w1=-1.505, h0=6.225, h1=6.064, ei=-118.577, correction=-5
27099: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=-1.505, wz=-2.120, w1=-1.536, h0=6.064, h1=5.909, ei=-124.485, correction=-6
27204: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-1.536, wz=-0.370, w1=-1.477, h0=5.909, h1=5.754, ei=-130.239, correction=-6
27314: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=-1.477, wz=-2.182, w1=-1.513, h0=5.754, h1=5.589, ei=-135.828, correction=-6
27424: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-1.513, wz=-0.245, w1=-1.449, h0=5.589, h1=5.429, ei=-141.257, correction=-7
27535: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-1.449, wz=-2.245, w1=-1.489, h0=5.429, h1=5.264, ei=-146.521, correction=-7
27645: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-1.489, wz=-2.995, w1=-1.564, h0=5.264, h1=5.090, ei=-151.612, correction=-7
27756: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-1.564, wz=-3.432, w1=-1.658, h0=5.090, h1=4.906, ei=-156.518, correction=-7
27857: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=-1.658, wz=-0.307, w1=-1.590, h0=4.906, h1=4.746, ei=-161.264, correction=-8
27965: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=-1.590, wz=-0.932, w1=-1.557, h0=4.746, h1=4.581, ei=-165.845, correction=-8
28069: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=-1.557, wz=-0.370, w1=-1.498, h0=4.581, h1=4.422, ei=-170.267, correction=-8
28175: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-1.498, wz=-2.370, w1=-1.542, h0=4.422, h1=4.260, ei=-174.527, correction=-8
28276: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-1.542, wz=-0.058, w1=-1.467, h0=4.260, h1=4.113, ei=-178.640, correction=-8
28380: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=-1.467, wz=-1.245, w1=-1.456, h0=4.113, h1=3.959, ei=-182.599, correction=-9
28491: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-1.456, wz=-1.182, w1=-1.443, h0=3.959, h1=3.800, ei=-186.399, correction=-9
28601: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-1.443, wz=-1.495, w1=-1.445, h0=3.800, h1=3.640, ei=-190.039, correction=-9
28711: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-1.445, wz=-2.870, w1=-1.516, h0=3.640, h1=3.473, ei=-193.512, correction=-9
28814: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-1.516, wz=-2.120, w1=-1.547, h0=3.473, h1=3.314, ei=-196.826, correction=-9
28915: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=-1.547, wz=-2.870, w1=-1.613, h0=3.314, h1=3.151, ei=-199.976, correction=-9
29020: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-1.613, wz=-2.307, w1=-1.648, h0=3.151, h1=2.981, ei=-202.957, correction=-10
29124: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-1.648, wz=-2.370, w1=-1.684, h0=2.981, h1=2.804, ei=-205.762, correction=-10
29232: TaskCorrectCourse::CorrectCourse: dt=0.108, w0=-1.684, wz=-2.495, w1=-1.724, h0=2.804, h1=2.618, ei=-208.380, correction=-10
29343: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-1.724, wz=-1.870, w1=-1.732, h0=2.618, h1=2.426, ei=-210.806, correction=-10
29454: TaskCorrectCourse::CorrectCourse: dt=0.112, w0=-1.732, wz=-0.745, w1=-1.682, h0=2.426, h1=2.237, ei=-213.043, correction=-10
29565: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-1.682, wz=-1.995, w1=-1.698, h0=2.237, h1=2.051, ei=-215.094, correction=-10
29677: TaskCorrectCourse::CorrectCourse: dt=0.112, w0=-1.698, wz=-0.932, w1=-1.660, h0=2.051, h1=1.865, ei=-216.959, correction=-10
29784: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-1.660, wz=0.068, w1=-1.573, h0=1.865, h1=1.700, ei=-218.658, correction=-10
29886: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-1.573, wz=-0.745, w1=-1.532, h0=1.700, h1=1.542, ei=-220.200, correction=-11
29986: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-1.532, wz=-1.120, w1=-1.511, h0=1.542, h1=1.391, ei=-221.591, correction=-11
30091: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=-1.511, wz=-2.370, w1=-1.554, h0=1.391, h1=1.224, ei=-222.816, correction=-11
30198: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-1.554, wz=-1.682, w1=-1.561, h0=1.224, h1=1.061, ei=-223.876, correction=-11
30302: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=-1.561, wz=-2.245, w1=-1.595, h0=1.061, h1=0.892, ei=-224.768, correction=-11
30412: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-1.595, wz=-5.245, w1=-1.777, h0=0.892, h1=0.696, ei=-225.464, correction=-11
